Id,Type,Name,File,Line
93,CPU,Package,,0
94,CPU,UE::CoreUObject::Private::MakeReferenceIds,D:\build\++UE5\Sync\Engine\Source\Runtime\CoreUObject\Private\UObject\ObjectHandleIndex.cpp,197
95,CPU,GIOThreadPool->Create,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,2744
96,CPU,System settings and cvar init,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,2759
97,CPU,ForEachObjectOfClass,D:\build\++UE5\Sync\Engine\Source\Runtime\CoreUObject\Private\UObject\UObjectHash.cpp,1858
98,CPU,ForEachObjectOfClasses_Implementation,D:\build\++UE5\Sync\Engine\Source\Runtime\CoreUObject\Private\UObject\UObjectHash.cpp,1828
99,CPU,FGlobalComponentRecreateRenderStateContext::FGlobalComponentRecreateRenderStateContext,D:\build\++UE5\Sync\Engine\Source\Runtime\Engine\Private\Components\ActorComponent.cpp,489
100,CPU,FGlobalComponentRecreateRenderStateContext::~FGlobalComponentRecreateRenderStateContext,D:\build\++UE5\Sync\Engine\Source\Runtime\Engine\Private\Components\ActorComponent.cpp,509
101,CPU,ClearMaterialPSORequests,D:\build\++UE5\Sync\Engine\Source\Runtime\Engine\Private\PSOPrecacheMaterial.cpp,746
102,CPU,ComputePrimitiveComponents,D:\build\++UE5\Sync\Engine\Source\Runtime\Engine\Private\ObjectCacheContext.cpp,676
103,CPU,InitScalabilitySystem,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,2786
104,CPU,InitializeCVarsForActiveDeviceProfile,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,2799
105,CPU,Scalability::LoadState,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,2808
106,CPU,LoadConsoleVariablesFromINI,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,2824
107,CPU,Platform Initialization,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,2829
108,CPU,AutoRTFM,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,2841
109,CPU,InitDerivedData,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,2847
110,CPU,InitIoDispatcher,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,2861
111,CPU,IPlatformFeaturesModule::Get(),D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,2974
112,CPU,InitGamePhys,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,2980
113,CPU,InitEngineTextLocalization,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\Internationalization\TextLocalizationManager.cpp,511
114,CPU,FTextLocalizationManager::WaitForAsyncTasks,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\Internationalization\TextLocalizationManager.cpp,1198
115,CPU,FTextLocalizationManager::LoadLocalizationResourcesForPrioritizedCultures,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\Internationalization\TextLocalizationManager.cpp,1446
116,CPU,MakeUniqueObjectName,D:\build\++UE5\Sync\Engine\Source\Runtime\CoreUObject\Private\UObject\UObjectGlobals.cpp,2813
117,CPU,GCObjectReferencer,,0
118,CPU,LoadLocalizedResourcesFromPaths,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\Internationalization\LocalizationResourceTextSource.cpp,154
119,CPU,WaitUntilTasksComplete,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\Async\TaskGraph.cpp,1454
120,CPU,FTaskBase::TryRetractAndExecute,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\Tasks\TaskPrivate.cpp,76
121,CPU,WaitForTasks,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\Async\TaskGraph.cpp,765
122,CPU,FTextLocalizationManager::UpdateLiveTable,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\Internationalization\TextLocalizationManager.cpp,1692
123,CPU,FTextLocalizationManager::DirtyTextRevision,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\Internationalization\TextLocalizationManager.cpp,1770
124,CPU,FPlatformSplash::Show(),D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,3054
125,CPU,FSlateApplication::Create(),D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,3059
126,CPU,FConfigCacheIni::Flush,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Private\Misc\ConfigCacheIni.cpp,4389
127,CPU,FShaderParametersMetadataRegistration::CommitAll(),D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,3088
128,CPU,FShaderTypeRegistration::CommitAll(),D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,3093
129,CPU,FUniformBufferStruct::InitializeStructs(),D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,3098
130,CPU,PreInitHMDDevice(),D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,3103
131,CPU,RHIInit,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,3109
132,CPU,RHICmdList_Submit,D:\build\++UE5\Sync\Engine\Source\Runtime\RHI\Private\RHICommandList.cpp,1305
133,CPU,RHICmdList_FlushRHIThread,D:\build\++UE5\Sync\Engine\Source\Runtime\RHI\Private\RHICommandList.cpp,1504
134,CPU,RHI_Dispatch,D:\build\++UE5\Sync\Engine\Source\Runtime\RHI\Private\RHICommandList.cpp,1440
135,CPU,RHI_FinalizeAndSubmit,D:\build\++UE5\Sync\Engine\Source\Runtime\RHI\Private\RHICommandList.cpp,1466
136,CPU,RHI_Translate,D:\build\++UE5\Sync\Engine\Source\Runtime\RHI\Private\RHICommandList.cpp,1047
137,CPU,RHI_Finalize,D:\build\++UE5\Sync\Engine\Source\Runtime\RHI\Private\RHICommandList.cpp,1145
138,CPU,RHI_SubmitToGPU,D:\build\++UE5\Sync\Engine\Source\Runtime\RHI\Private\RHICommandList.cpp,1486
139,CPU,DeleteRHIResources,D:\build\++UE5\Sync\Engine\Source\Runtime\RHI\Private\RHICommandList.cpp,1255
140,CPU,"D3D12Device::CreateDescriptorHeap(BindlessResourcesCPU, 32768)",D:\build\++UE5\Sync\Engine\Source\Runtime\D3D12RHI\Private\D3D12Descriptors.cpp,476
141,CPU,CreateNewBindlessHeap (2048),D:\build\++UE5\Sync\Engine\Source\Runtime\D3D12RHI\Private\D3D12BindlessDescriptors.cpp,49
142,CPU,"D3D12Device::CreateDescriptorHeap(BindlessSamplers, 2048)",D:\build\++UE5\Sync\Engine\Source\Runtime\D3D12RHI\Private\D3D12Descriptors.cpp,476
143,CPU,"D3D12Device::CreateDescriptorHeap(GlobalResourceHeap, 1000000)",D:\build\++UE5\Sync\Engine\Source\Runtime\D3D12RHI\Private\D3D12Descriptors.cpp,476
144,CPU,"D3D12Device::CreateDescriptorHeap(GlobalSamplerHeap, 2048)",D:\build\++UE5\Sync\Engine\Source\Runtime\D3D12RHI\Private\D3D12Descriptors.cpp,476
145,CPU,"D3D12Device::CreateDescriptorHeap(FD3D12OfflineDescriptorManager, 2048)",D:\build\++UE5\Sync\Engine\Source\Runtime\D3D12RHI\Private\D3D12Descriptors.cpp,476
146,CPU,"D3D12Device::CreateDescriptorHeap(FD3D12OfflineDescriptorManager, 256)",D:\build\++UE5\Sync\Engine\Source\Runtime\D3D12RHI\Private\D3D12Descriptors.cpp,476
147,CPU,"D3D12Device::CreateDescriptorHeap(FD3D12OfflineDescriptorManager, 128)",D:\build\++UE5\Sync\Engine\Source\Runtime\D3D12RHI\Private\D3D12Descriptors.cpp,476
148,CPU,D3D12RHI::CreateRHIBuffer,D:\build\++UE5\Sync\Engine\Source\Runtime\D3D12RHI\Private\D3D12Buffer.cpp,248
149,CPU,D3D12RHI::AllocateBuffer,D:\build\++UE5\Sync\Engine\Source\Runtime\D3D12RHI\Private\D3D12Buffer.cpp,179
150,CPU,D3D12RHI::AllocatePoolResource,D:\build\++UE5\Sync\Engine\Source\Runtime\D3D12RHI\Private\D3D12PoolAllocator.cpp,350
151,CPU,FRHIPoolAllocator::TryAllocateInternal,D:\build\++UE5\Sync\Engine\Source\Runtime\RHICore\Private\RHIPoolAllocator.cpp,693
152,CPU,FD3D12PoolAllocator::CreateNewPool,D:\build\++UE5\Sync\Engine\Source\Runtime\D3D12RHI\Private\D3D12PoolAllocator.cpp,648
153,CPU,"D3D12Device::CreateDescriptorHeap(Thread Local - Online Sampler Heap, 2048)",D:\build\++UE5\Sync\Engine\Source\Runtime\D3D12RHI\Private\D3D12Descriptors.cpp,476
154,CPU,InterruptQueue_Process,D:\build\++UE5\Sync\Engine\Source\Runtime\D3D12RHI\Private\D3D12Submission.cpp,1103
155,CPU,SubmissionQueue_Process,D:\build\++UE5\Sync\Engine\Source\Runtime\D3D12RHI\Private\D3D12Submission.cpp,378
156,CPU,ExecuteCommandList,D:\build\++UE5\Sync\Engine\Source\Runtime\D3D12RHI\Private\D3D12Submission.cpp,552
157,CPU,CalibrateClocks,D:\build\++UE5\Sync\Engine\Source\Runtime\D3D12RHI\Private\D3D12Submission.cpp,910
158,CPU,CreateCommittedResource,D:\build\++UE5\Sync\Engine\Source\Runtime\D3D12RHI\Private\D3D12Resources.cpp,801
159,CPU,SetEventOnCompletion,D:\build\++UE5\Sync\Engine\Source\Runtime\D3D12RHI\Private\D3D12Submission.cpp,1166
