Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
FProjectDescriptor::Read,2,2.000000,0.000251,0.000056,0.000196,0.000126,0.000195,0.000087,0.000031,0.000056,0.000043,0.000055
FTaskGraphInterface::Startup,1,1.000000,0.003565,0.003565,0.003565,0.003565,0.003565,0.003565,0.003565,0.003565,0.003565,0.003565
Init FQueuedThreadPool's,1,1.000000,0.001931,0.001931,0.001931,0.001931,0.001931,0.001931,0.001931,0.001931,0.001931,0.001931
FWaitingQueue_CreateThread,20,20.000000,0.027555,0.000431,0.004899,0.001378,0.000702,0.000018,0.000000,0.000003,0.000001,0.000001
CreateWorkerThread,20,20.000000,0.027537,0.000430,0.004896,0.001377,0.000701,0.027537,0.000430,0.004896,0.001377,0.000701
LoadCoreModules,1,1.000000,0.088531,0.088531,0.088531,0.088531,0.088531,0.000026,0.000026,0.000026,0.000026,0.000026
ProcessNewlyLoadedUObjects,648,648.000000,2.016007,0.000000,1.589858,0.003111,0.000000,0.001329,0.000000,0.000024,0.000002,0.000001
UClassRegisterAllCompiledInClasses,520,520.000000,0.033872,0.000000,0.015016,0.000065,0.000000,0.033872,0.000000,0.015016,0.000065,0.000000
FPackageName::FLongPackagePathsSingleton,1,1.000000,0.000108,0.000108,0.000108,0.000108,0.000108,0.000108,0.000108,0.000108,0.000108,0.000108
DiscoverAllPlugins,1,1.000000,0.072680,0.072680,0.072680,0.072680,0.072680,0.007588,0.007588,0.007588,0.007588,0.007588
FWaitingQueue_Unpark_SignalWaitingThread,66525,66525.000000,0.199262,0.000000,0.000436,0.000003,0.000005,0.199262,0.000000,0.000436,0.000003,0.000005
FindPluginsInDirectory.PF,53,53.000000,0.372182,0.000000,0.021939,0.007022,0.003324,0.001360,0.000000,0.000089,0.000026,0.000010
ParallelFor.Wait,1467,1467.000000,0.071746,0.000001,0.013141,0.000049,0.000001,0.024451,0.000000,0.013141,0.000017,0.000000
ReadPluginsInDirectory.PF,17,17.000000,0.520106,0.000297,0.034867,0.030594,0.034518,0.520106,0.000297,0.034867,0.030594,0.034518
FMaterialRenderProxy::UpdateDeferredCachedUniformExpressions,532,532.000000,0.001885,0.000000,0.000741,0.000004,0.000000,0.000856,0.000000,0.000099,0.000002,0.000001
LoadPreInitModules,1,1.000000,0.008646,0.008646,0.008646,0.008646,0.008646,0.000042,0.000042,0.000042,0.000042,0.000042
AppInit,1,1.000000,0.621317,0.621317,0.621317,0.621317,0.621317,0.065291,0.065291,0.065291,0.065291,0.065291
BeginInitTextLocalization,2,2.000000,0.005087,0.000000,0.005087,0.002544,0.005062,0.005087,0.000002,0.005086,0.002544,0.005060
FPlatformMisc::PlatformPreInit,1,1.000000,0.003792,0.003792,0.003792,0.003792,0.003792,0.002997,0.002997,0.002997,0.002997,0.002997
FPlatformApplicationMisc::PreInit,1,1.000000,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004
IFileManager::Get().ProcessCommandLineOptions(),1,1.000000,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003
FPlatformOutputDevices::SetupOutputDevices,1,1.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.001991,0.001991,0.001991,0.001991,0.001991
